Rating.Agency_Egan-Jones Ratings Company,Rating.Agency_Fitch Ratings,Rating.Agency_Moody's Investors Service,Rating.Agency_Standard & Poor's Ratings Services,Rating,Binary.Rating,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current.Ratio,Long.term.Debt...Capital,Debt.Equity.Ratio,Gross.Margin,Net.Profit.Margin,Asset.Turnover,ROE...Return.On.Equity,Return.On.Tangible.Equity,ROA...Return.On.Assets,ROI...Return.On.Investment,Operating.Cash.Flow.Per.Share,Free.Cash.Flow.Per.Share
0,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.058,1.8638,-2.1577,17.5953,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
0,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.058,1.8638,-2.1577,17.5953,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1.058,1.8638,-2.1577,17.5953,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1372,0.4426,0.9565,79.8565,8.2604,0.3354,8.2351,8.2595,2.6082,4.5899,-0.5609,-0.5196
0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1.085,0.3125,0.4548,2.9894,0.8187,5.3881,21.3182,578.0447,4.3631,14.6552,1.2707,1.1387
0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1.046,0.2534,0.4761,3.1247,0.8979,5.2524,24.3296,1140.864,4.6553,18.1653,0.346,0.4003
0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5204,0.3123,0.5581,85.2521,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
0,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5204,0.3123,0.5581,85.2521,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5204,0.3123,0.5581,85.2521,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5204,0.3123,0.5581,85.2521,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5399,0.7754,3.6802,22.0455,7.158,0.8957,40.1033,41.1568,6.4237,9.008,0.9937,0.1772
0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5399,0.7754,3.6802,22.0455,7.158,0.8957,40.1033,41.1568,6.4237,9.008,0.9937,0.1772
0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0415,0.2545,0.3415,32.5885,13.9671,0.885,21.4458,62.0711,12.5107,15.9884,-0.2345,-0.301
0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,8.3549,0.1868,0.2335,66.3658,28.9777,0.5672,22.6825,24.54,16.3121,18.4453,-0.319,-0.3534
0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1.6315,0.3514,0.5605,12.9029,2.5588,1.9525,14.7523,29.9019,4.9958,9.5688,-5.2071,-5.005
0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1.3469,0.305,0.5313,82.3954,22.9972,0.5973,36.2327,-582.9985,13.7363,25.1819,4.0479,3.7638
0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7505,0.4538,1.0539,28.1939,4.4161,0.6891,8.7154,13.2006,2.8069,4.7607,-2.1727,-2.4831
0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8524,1.3446,-3.937,50.4134,10.0278,1.3215,-99.9386,-70.8954,13.2513,34.4436,7.7639,6.2717
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0671,0.0057,0.0057,41.9465,12.755,0.2872,20.7141,56.0533,3.6363,20.5969,0.0837,-0.0569
